entity_id,display_id,acquisition_date,year,month,month_label,satellite,cloud_cover,wrs_path,wrs_row
LC08_L2SP_144051_20160116_02_T1,LC08_L2SP_144051_20160116_02_T1,2016-01-16,2016,1,2016-01,Landsat 8,0.26,144,51
LC08_L2SP_144051_20160320_02_T1,LC08_L2SP_144051_20160320_02_T1,2016-03-20,2016,3,2016-03,Landsat 8,0.04,144,51
LC08_L2SP_144051_20160405_02_T1,LC08_L2SP_144051_20160405_02_T1,2016-04-05,2016,4,2016-04,Landsat 8,0.43,144,51
LC08_L2SP_144051_20160421_02_T1,LC08_L2SP_144051_20160421_02_T1,2016-04-21,2016,4,2016-04,Landsat 8,9.43,144,51
LC08_L2SP_144051_20160507_02_T1,LC08_L2SP_144051_20160507_02_T1,2016-05-07,2016,5,2016-05,Landsat 8,4.6,144,51
LC08_L2SP_144051_20160523_02_T1,LC08_L2SP_144051_20160523_02_T1,2016-05-23,2016,5,2016-05,Landsat 8,2.66,144,51
LC08_L2SP_144051_20161217_02_T1,LC08_L2SP_144051_20161217_02_T1,2016-12-17,2016,12,2016-12,Landsat 8,5.61,144,51
LC08_L2SP_144051_20170102_02_T1,LC08_L2SP_144051_20170102_02_T1,2017-01-02,2017,1,2017-01,Landsat 8,5.93,144,51
LC08_L2SP_144051_20170118_02_T1,LC08_L2SP_144051_20170118_02_T1,2017-01-18,2017,1,2017-01,Landsat 8,0.25,144,51
LC08_L2SP_144051_20170203_02_T1,LC08_L2SP_144051_20170203_02_T1,2017-02-03,2017,2,2017-02,Landsat 8,0.03,144,51
LC08_L2SP_144051_20170307_02_T1,LC08_L2SP_144051_20170307_02_T1,2017-03-07,2017,3,2017-03,Landsat 8,9.93,144,51
LC08_L2SP_144051_20170323_02_T1,LC08_L2SP_144051_20170323_02_T1,2017-03-23,2017,3,2017-03,Landsat 8,0.14,144,51
LC08_L2SP_144051_20170408_02_T1,LC08_L2SP_144051_20170408_02_T1,2017-04-08,2017,4,2017-04,Landsat 8,0.42,144,51
LC08_L2SP_144051_20170424_02_T1,LC08_L2SP_144051_20170424_02_T1,2017-04-24,2017,4,2017-04,Landsat 8,0.0,144,51
LC08_L2SP_144051_20170526_02_T1,LC08_L2SP_144051_20170526_02_T1,2017-05-26,2017,5,2017-05,Landsat 8,8.25,144,51
LC08_L2SP_144051_20171220_02_T1,LC08_L2SP_144051_20171220_02_T1,2017-12-20,2017,12,2017-12,Landsat 8,3.12,144,51
LC08_L2SP_144051_20180105_02_T1,LC08_L2SP_144051_20180105_02_T1,2018-01-05,2018,1,2018-01,Landsat 8,0.97,144,51
LC08_L2SP_144051_20180121_02_T1,LC08_L2SP_144051_20180121_02_T1,2018-01-21,2018,1,2018-01,Landsat 8,0.2,144,51
LC08_L2SP_144051_20180206_02_T1,LC08_L2SP_144051_20180206_02_T1,2018-02-06,2018,2,2018-02,Landsat 8,0.09,144,51
LC08_L2SP_144051_20180222_02_T1,LC08_L2SP_144051_20180222_02_T1,2018-02-22,2018,2,2018-02,Landsat 8,0.0,144,51
LC08_L2SP_144051_20180310_02_T1,LC08_L2SP_144051_20180310_02_T1,2018-03-10,2018,3,2018-03,Landsat 8,5.82,144,51
LC08_L2SP_144051_20180326_02_T1,LC08_L2SP_144051_20180326_02_T1,2018-03-26,2018,3,2018-03,Landsat 8,5.11,144,51
LC08_L2SP_144051_20180411_02_T1,LC08_L2SP_144051_20180411_02_T1,2018-04-11,2018,4,2018-04,Landsat 8,11.41,144,51
LC08_L2SP_144051_20180427_02_T1,LC08_L2SP_144051_20180427_02_T1,2018-04-27,2018,4,2018-04,Landsat 8,2.87,144,51
LC08_L2SP_144051_20180513_02_T1,LC08_L2SP_144051_20180513_02_T1,2018-05-13,2018,5,2018-05,Landsat 8,5.74,144,51
LC08_L2SP_144051_20181105_02_T1,LC08_L2SP_144051_20181105_02_T1,2018-11-05,2018,11,2018-11,Landsat 8,16.85,144,51
LC08_L2SP_144051_20190108_02_T1,LC08_L2SP_144051_20190108_02_T1,2019-01-08,2019,1,2019-01,Landsat 8,0.03,144,51
LC08_L2SP_144051_20190124_02_T1,LC08_L2SP_144051_20190124_02_T1,2019-01-24,2019,1,2019-01,Landsat 8,1.12,144,51
