month_label,entity_id,display_id,acquisition_date,year,month,satellite,cloud_cover,wrs_path,wrs_row
2016-01,LC08_L2SP_144051_20160116_02_T1,LC08_L2SP_144051_20160116_02_T1,2016-01-16,2016,1,Landsat 8,0.26,144,51
2016-03,LC08_L2SP_144051_20160320_02_T1,LC08_L2SP_144051_20160320_02_T1,2016-03-20,2016,3,Landsat 8,0.04,144,51
2016-04,LC08_L2SP_144051_20160405_02_T1,LC08_L2SP_144051_20160405_02_T1,2016-04-05,2016,4,Landsat 8,0.43,144,51
2016-05,LC08_L2SP_144051_20160523_02_T1,LC08_L2SP_144051_20160523_02_T1,2016-05-23,2016,5,Landsat 8,2.66,144,51
2016-12,LC08_L2SP_144051_20161217_02_T1,LC08_L2SP_144051_20161217_02_T1,2016-12-17,2016,12,Landsat 8,5.61,144,51
2017-01,LC08_L2SP_144051_20170118_02_T1,LC08_L2SP_144051_20170118_02_T1,2017-01-18,2017,1,Landsat 8,0.25,144,51
2017-02,LC08_L2SP_144051_20170203_02_T1,LC08_L2SP_144051_20170203_02_T1,2017-02-03,2017,2,Landsat 8,0.03,144,51
2017-03,LC08_L2SP_144051_20170323_02_T1,LC08_L2SP_144051_20170323_02_T1,2017-03-23,2017,3,Landsat 8,0.14,144,51
2017-04,LC08_L2SP_144051_20170424_02_T1,LC08_L2SP_144051_20170424_02_T1,2017-04-24,2017,4,Landsat 8,0.0,144,51
2017-05,LC08_L2SP_144051_20170526_02_T1,LC08_L2SP_144051_20170526_02_T1,2017-05-26,2017,5,Landsat 8,8.25,144,51
2017-12,LC08_L2SP_144051_20171220_02_T1,LC08_L2SP_144051_20171220_02_T1,2017-12-20,2017,12,Landsat 8,3.12,144,51
2018-01,LC08_L2SP_144051_20180121_02_T1,LC08_L2SP_144051_20180121_02_T1,2018-01-21,2018,1,Landsat 8,0.2,144,51
2018-02,LC08_L2SP_144051_20180222_02_T1,LC08_L2SP_144051_20180222_02_T1,2018-02-22,2018,2,Landsat 8,0.0,144,51
2018-03,LC08_L2SP_144051_20180326_02_T1,LC08_L2SP_144051_20180326_02_T1,2018-03-26,2018,3,Landsat 8,5.11,144,51
2018-04,LC08_L2SP_144051_20180427_02_T1,LC08_L2SP_144051_20180427_02_T1,2018-04-27,2018,4,Landsat 8,2.87,144,51
2018-05,LC08_L2SP_144051_20180513_02_T1,LC08_L2SP_144051_20180513_02_T1,2018-05-13,2018,5,Landsat 8,5.74,144,51
2018-11,LC08_L2SP_144051_20181105_02_T1,LC08_L2SP_144051_20181105_02_T1,2018-11-05,2018,11,Landsat 8,16.85,144,51
2019-01,LC08_L2SP_144051_20190108_02_T1,LC08_L2SP_144051_20190108_02_T1,2019-01-08,2019,1,Landsat 8,0.03,144,51
